Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2022,2,11,21,0,0,1.2857
2022,2,11,21,10,0,1.693
2022,2,11,21,20,0,1.5251
2022,2,11,21,30,0,1.8635
2022,2,11,21,40,0,1.7913
2022,2,11,21,50,0,1.136
2022,2,11,22,0,0,0.5857
2022,2,11,22,10,0,1.5556
2022,2,11,22,20,0,1.7453
2022,2,11,22,30,0,1.7803
2022,2,11,22,40,0,1.4781
2022,2,11,22,50,0,1.3939
2022,2,11,23,0,0,1.3693
2022,2,11,23,10,0,1.512
2022,2,11,23,20,0,1.6996
2022,2,11,23,30,0,1.7028
2022,2,11,23,40,0,1.6823
2022,2,11,23,50,0,1.8483
2022,2,12,0,0,0,1.8373
2022,2,12,0,10,0,2.0197
2022,2,12,0,20,0,1.8875
2022,2,12,0,30,0,1.8324
2022,2,12,0,40,0,1.6823
2022,2,12,0,50,0,1.7153
2022,2,12,1,0,0,1.7562
2022,2,12,1,10,0,1.8099
2022,2,12,1,20,0,1.5719
2022,2,12,1,30,0,1.504
2022,2,12,1,40,0,1.4293
2022,2,12,1,50,0,1.3272
2022,2,12,2,0,0,1.2786
2022,2,12,2,10,0,1.156
2022,2,12,2,20,0,1.2413
2022,2,12,2,30,0,1.1629
2022,2,12,2,40,0,1.6975
2022,2,12,2,50,0,2.0263
2022,2,12,3,0,0,2.4137
2022,2,12,3,10,0,2.3619
2022,2,12,3,20,0,2.2677
2022,2,12,3,30,0,2.3296
2022,2,12,19,30,0,0.8465
2022,2,12,19,40,0,1.5055
2022,2,12,19,50,0,1.2118
2022,2,12,20,0,0,-0.1204
2022,2,12,20,10,0,0.4501
2022,2,12,20,20,0,-0.4704
2022,2,12,20,30,0,-1.0417
2022,2,12,20,40,0,-2.261
2022,2,12,20,50,0,-3.9454
2022,2,12,21,0,0,-3.6655
2022,2,12,21,10,0,-6.3854
2022,2,12,21,20,0,-1.3633
2022,2,12,21,30,0,-0.1569
2022,2,12,21,40,0,-0.7711
2022,2,12,21,50,0,-9.307
2022,2,12,22,0,0,-8.6689
2022,2,12,22,10,0,-10.2235
2022,2,12,22,20,0,-11.7553
2022,2,12,22,30,0,-8.6857
2022,2,12,22,40,0,-5.9402
2022,2,12,22,50,0,-5.774
2022,2,12,23,0,0,-5.785
2022,2,12,23,10,0,-7.0502
2022,2,12,23,20,0,-15.8436
2022,2,12,23,30,0,-17.2213
2022,2,12,23,40,0,-17.6437
2022,2,12,23,50,0,-16.7805
2022,2,13,0,0,0,-17.7165
2022,2,13,0,10,0,-17.2341
2022,2,13,0,20,0,-16.0141
2022,2,13,0,30,0,-12.3105
2022,2,13,0,40,0,-8.8556
2022,2,13,0,50,0,-13.6027
2022,2,13,1,0,0,-11.1109
2022,2,13,1,10,0,-10.8912
2022,2,13,1,20,0,-12.1529
2022,2,13,1,30,0,-5.3243
2022,2,13,1,40,0,-8.997
2022,2,13,1,50,0,-13.8681
2022,2,13,2,0,0,-17.4365
2022,2,13,2,10,0,-16.4471
2022,2,13,2,20,0,-18.9229
2022,2,13,2,30,0,-13.3285
2022,2,13,2,40,0,-10.7426
2022,2,13,2,50,0,-9.3113
2022,2,13,3,0,0,-9.8937
2022,2,13,3,10,0,-7.4938
2022,2,13,3,20,0,-14.1729
2022,2,13,3,30,0,-15.0839
2022,2,13,19,30,0,1.3726
2022,2,13,19,40,0,1.1869
2022,2,13,19,50,0,1.3722
2022,2,13,20,0,0,1.0348
2022,2,13,20,10,0,1.1716
2022,2,13,20,20,0,0.8676
2022,2,13,20,30,0,1.2275
2022,2,13,20,40,0,1.6791
2022,2,13,20,50,0,0.856
2022,2,13,21,0,0,0.7121
2022,2,13,21,10,0,1.0526
2022,2,13,21,20,0,0.6561
2022,2,13,21,30,0,0.8669
2022,2,13,21,40,0,1.5061
2022,2,13,21,50,0,1.6684
2022,2,13,22,0,0,1.1679
